"st_fips","state","variable","estimate","moe","year","sex","marital_status","age"
"01","Alabama","B12002_086",18056,2114,2015,"M","Divorced","35-39"
"01","Alabama","B12002_087",23832,3200,2015,"M","Divorced","40-44"
"01","Alabama","B12002_088",27162,2589,2015,"M","Divorced","45-49"
"01","Alabama","B12002_089",32465,2267,2015,"M","Divorced","50-54"
"01","Alabama","B12002_090",34063,3312,2015,"M","Divorced","55-59"
"01","Alabama","B12002_091",23565,2627,2015,"M","Divorced","60-64"
"01","Alabama","B12002_092",28266,2350,2015,"M","Divorced","65-74"
"01","Alabama","B12002_093",7528,1143,2015,"M","Divorced","75-84"
"01","Alabama","B12002_094",2410,626,2015,"M","Divorced","85+"
"01","Alabama","B12002_097",96914,2869,2015,"F","Never Married","15-17"
"01","Alabama","B12002_098",67145,3316,2015,"F","Never Married","18-19"
"01","Alabama","B12002_099",136666,4614,2015,"F","Never Married","20-24"
"01","Alabama","B12002_100",87886,4229,2015,"F","Never Married","25-29"
"01","Alabama","B12002_101",52569,3095,2015,"F","Never Married","30-34"
"01","Alabama","B12002_102",34926,3343,2015,"F","Never Married","35-39"
"01","Alabama","B12002_103",25230,2854,2015,"F","Never Married","40-44"
"01","Alabama","B12002_104",18552,2192,2015,"F","Never Married","45-49"
"01","Alabama","B12002_105",21557,2070,2015,"F","Never Married","50-54"
"01","Alabama","B12002_106",16483,2002,2015,"F","Never Married","55-59"
"01","Alabama","B12002_107",10877,1460,2015,"F","Never Married","60-64"
"01","Alabama","B12002_108",11379,2389,2015,"F","Never Married","65-74"
"01","Alabama","B12002_109",4965,890,2015,"F","Never Married","75-84"
"01","Alabama","B12002_110",2307,841,2015,"F","Never Married","85+"
"01","Alabama","B12002_113",203,293,2015,"F","Married","15-17"
"01","Alabama","B12002_114",427,234,2015,"F","Married","18-19"
"01","Alabama","B12002_115",19101,2237,2015,"F","Married","20-24"
"01","Alabama","B12002_116",56933,3526,2015,"F","Married","25-29"
"01","Alabama","B12002_117",74262,3182,2015,"F","Married","30-34"
"01","Alabama","B12002_118",84804,4863,2015,"F","Married","35-39"
"01","Alabama","B12002_119",88980,3744,2015,"F","Married","40-44"
"01","Alabama","B12002_120",92119,3147,2015,"F","Married","45-49"
"01","Alabama","B12002_121",102141,3661,2015,"F","Married","50-54"
"01","Alabama","B12002_122",99868,4250,2015,"F","Married","55-59"
