"st_fips","state","estimate","moe","year","child_age","child_parent"
2,"Alaska",864,341,2023,"03-04","Single Parent (Dad)"
2,"Alaska",822,556,2023,"05","Single Parent (Dad)"
2,"Alaska",6164,1717,2023,"06-11","Single Parent (Dad)"
2,"Alaska",5758,1870,2023,"12-17","Single Parent (Dad)"
2,"Alaska",3870,1233,2023,"00-02","Single Parent (Mom)"
2,"Alaska",2407,913,2023,"03-04","Single Parent (Mom)"
2,"Alaska",757,240,2023,"05","Single Parent (Mom)"
2,"Alaska",8500,2226,2023,"06-11","Single Parent (Mom)"
2,"Alaska",10640,2149,2023,"12-17","Single Parent (Mom)"
4,"Arizona",139856,6917,2011,"00-02","Married Couple"
4,"Arizona",104774,6917,2011,"03-04","Married Couple"
4,"Arizona",52838,5168,2011,"05","Married Couple"
4,"Arizona",310724,10103,2011,"06-11","Married Couple"
4,"Arizona",294833,9934,2011,"12-17","Married Couple"
4,"Arizona",23055,3647,2011,"00-02","Single Parent (Dad)"
4,"Arizona",14087,2802,2011,"03-04","Single Parent (Dad)"
4,"Arizona",6177,1839,2011,"05","Single Parent (Dad)"
4,"Arizona",41709,5121,2011,"06-11","Single Parent (Dad)"
4,"Arizona",37961,5255,2011,"12-17","Single Parent (Dad)"
4,"Arizona",45545,5553,2011,"00-02","Single Parent (Mom)"
4,"Arizona",37989,4340,2011,"03-04","Single Parent (Mom)"
4,"Arizona",18902,3224,2011,"05","Single Parent (Mom)"
4,"Arizona",127112,10005,2011,"06-11","Single Parent (Mom)"
4,"Arizona",130213,8674,2011,"12-17","Single Parent (Mom)"
4,"Arizona",140660,6013,2013,"00-02","Married Couple"
4,"Arizona",107140,4985,2013,"03-04","Married Couple"
4,"Arizona",51938,3807,2013,"05","Married Couple"
4,"Arizona",321932,7613,2013,"06-11","Married Couple"
4,"Arizona",313985,10569,2013,"12-17","Married Couple"
4,"Arizona",21447,2779,2013,"00-02","Single Parent (Dad)"
4,"Arizona",12431,1954,2013,"03-04","Single Parent (Dad)"
4,"Arizona",5969,1402,2013,"05","Single Parent (Dad)"
4,"Arizona",39373,4306,2013,"06-11","Single Parent (Dad)"
4,"Arizona",35790,3907,2013,"12-17","Single Parent (Dad)"
4,"Arizona",43505,3841,2013,"00-02","Single Parent (Mom)"
4,"Arizona",34664,3061,2013,"03-04","Single Parent (Mom)"
4,"Arizona",19876,2447,2013,"05","Single Parent (Mom)"
4,"Arizona",119359,6497,2013,"06-11","Single Parent (Mom)"
4,"Arizona",133422,7589,2013,"12-17","Single Parent (Mom)"
